date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-06,09:15,11:10,11:20,24415.85,24423.25,24406.285
2026-07-06,09:25,11:20,11:30,24423.25,24418.8,24420.576
2026-07-06,09:35,11:30,11:40,24418.8,24417.3,24423.406
2026-07-06,09:45,11:40,11:50,24417.3,24415.3,24413.445
2026-07-06,09:55,11:50,12:00,24415.3,24427.65,24416.012
2026-07-06,10:05,12:00,12:10,24427.65,24443.25,24428.025
2026-07-06,10:15,12:10,12:20,24443.25,24441.05,24441.045
2026-07-06,10:25,12:20,12:30,24441.05,24450.85,24433.5
2026-07-06,10:35,12:30,12:40,24450.85,24444.3,24449.006
2026-07-06,10:45,12:40,12:50,24444.3,24430.5,24446.06
2026-07-06,10:55,12:50,13:00,24430.5,24442.55,24434.127
2026-07-06,11:05,13:00,13:10,24442.55,24449.25,24440.598
2026-07-06,11:15,13:10,13:20,24449.25,24442.6,24452.63
2026-07-06,11:25,13:20,13:30,24442.6,24438.5,24442.814
2026-07-06,11:35,13:30,13:40,24438.5,24437.55,24440.139
2026-07-06,11:45,13:40,13:50,24437.55,24416.5,24437.484
2026-07-06,11:55,13:50,14:00,24416.5,24417.15,24419.375
2026-07-06,12:05,14:00,14:10,24417.15,24400.85,24414.684
2026-07-06,12:15,14:10,14:20,24400.85,24410.45,24399.902
2026-07-06,12:25,14:20,14:30,24410.45,24409.4,24409.979
2026-07-06,12:35,14:30,14:40,24409.4,24397.1,24399.787
2026-07-06,12:45,14:40,14:50,24397.1,24409.95,24402.338
2026-07-06,12:55,14:50,15:00,24409.95,24428.35,24398.258
2026-07-06,13:05,15:00,15:10,24428.35,24437.2,24427.262
2026-07-06,13:15,15:10,15:20,24437.2,24437.5,24445.996
2026-07-07,09:15,11:10,11:20,24512.6,24510.1,24514.61
2026-07-07,09:25,11:20,11:30,24510.1,24515.05,24522.94
2026-07-07,09:35,11:30,11:40,24515.05,24510.4,24511.193
2026-07-07,09:45,11:40,11:50,24510.4,24520.6,24507.023
2026-07-07,09:55,11:50,12:00,24520.6,24521.2,24517.611
