date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-06,09:15,11:10,11:20,58287.9,58372.1,58293.05
2026-07-06,09:25,11:20,11:30,58372.1,58308.75,58352.53
2026-07-06,09:35,11:30,11:40,58308.75,58221.9,58204.754
2026-07-06,09:45,11:40,11:50,58221.9,58228.15,58222.5
2026-07-06,09:55,11:50,12:00,58228.15,58297.35,58228.34
2026-07-06,10:05,12:00,12:10,58297.35,58453.55,58265.81
2026-07-06,10:15,12:10,12:20,58453.55,58429.65,58346.887
2026-07-06,10:25,12:20,12:30,58429.65,58453.65,58427.01
2026-07-06,10:35,12:30,12:40,58453.65,58417.15,58405.23
2026-07-06,10:45,12:40,12:50,58417.15,58346.0,58405.957
2026-07-06,10:55,12:50,13:00,58346.0,58418.35,58344.207
2026-07-06,11:05,13:00,13:10,58418.35,58450.35,58404.5
2026-07-06,11:15,13:10,13:20,58450.35,58411.8,58452.316
2026-07-06,11:25,13:20,13:30,58411.8,58414.9,58385.33
2026-07-06,11:35,13:30,13:40,58414.9,58389.9,58406.55
2026-07-06,11:45,13:40,13:50,58389.9,58380.95,58415.59
2026-07-06,11:55,13:50,14:00,58380.95,58391.25,58382.3
2026-07-06,12:05,14:00,14:10,58391.25,58327.45,58380.04
2026-07-06,12:15,14:10,14:20,58327.45,58338.95,58348.066
2026-07-06,12:25,14:20,14:30,58338.95,58320.65,58337.426
2026-07-06,12:35,14:30,14:40,58320.65,58295.0,58366.938
2026-07-06,12:45,14:40,14:50,58295.0,58304.1,58282.094
2026-07-06,12:55,14:50,15:00,58304.1,58288.25,58311.555
2026-07-06,13:05,15:00,15:10,58288.25,58309.45,58288.125
2026-07-06,13:15,15:10,15:20,58309.45,58285.3,58329.14
2026-07-07,09:15,11:10,11:20,58430.35,58401.55,58429.695
2026-07-07,09:25,11:20,11:30,58401.55,58430.6,58401.555
2026-07-07,09:35,11:30,11:40,58430.6,58449.75,58423.0
2026-07-07,09:45,11:40,11:50,58449.75,58466.25,58436.96
2026-07-07,09:55,11:50,12:00,58466.25,58451.95,58436.785
2026-07-07,10:05,12:00,12:10,58451.95,58407.8,58456.004
2026-07-07,10:15,12:10,12:20,58407.8,58396.25,58420.86
2026-07-07,10:25,12:20,12:30,58396.25,58338.65,58401.613
2026-07-07,10:35,12:30,12:40,58338.65,58325.3,58348.195
2026-07-07,10:45,12:40,12:50,58325.3,58319.3,58336.523
2026-07-07,10:55,12:50,13:00,58319.3,58326.0,58307.496
2026-07-07,11:05,13:00,13:10,58326.0,58244.95,58314.63
2026-07-07,11:15,13:10,13:20,58244.95,58244.75,58236.66
2026-07-07,11:25,13:20,13:30,58244.75,58260.65,58254.902
2026-07-07,11:35,13:30,13:40,58260.65,58287.2,58261.266
2026-07-07,11:45,13:40,13:50,58287.2,58232.3,58276.133
2026-07-07,11:55,13:50,14:00,58232.3,58283.5,58243.812
2026-07-07,12:05,14:00,14:10,58283.5,58298.8,58295.68
2026-07-07,12:15,14:10,14:20,58298.8,58283.4,58305.215
2026-07-07,12:25,14:20,14:30,58283.4,58320.05,58279.6
2026-07-07,12:35,14:30,14:40,58320.05,58331.25,58291.355
2026-07-07,12:45,14:40,14:50,58331.25,58340.7,58340.156
2026-07-07,12:55,14:50,15:00,58340.7,58227.9,58340.254
2026-07-07,13:05,15:00,15:10,58227.9,58202.8,58253.23
2026-07-07,13:15,15:10,15:20,58202.8,58158.4,58193.332
2026-07-08,09:15,11:10,11:20,57990.1,57959.95,57947.152
2026-07-08,09:25,11:20,11:30,57959.95,57944.85,57950.676
2026-07-08,09:35,11:30,11:40,57944.85,57879.9,57993.395
2026-07-08,09:45,11:40,11:50,57879.9,57862.65,57938.465
2026-07-08,09:55,11:50,12:00,57862.65,57831.75,57833.332
2026-07-08,10:05,12:00,12:10,57831.75,57792.2,57801.855
2026-07-08,10:15,12:10,12:20,57792.2,57792.15,57835.312
2026-07-08,10:25,12:20,12:30,57792.15,57749.3,57793.88
2026-07-08,10:35,12:30,12:40,57749.3,57765.45,57768.254
2026-07-08,10:45,12:40,12:50,57765.45,57812.55,57755.516
2026-07-08,10:55,12:50,13:00,57812.55,57866.7,57781.33
2026-07-08,11:05,13:00,13:10,57866.7,57842.95,57864.125
2026-07-08,11:15,13:10,13:20,57842.95,57860.0,57834.46
2026-07-08,11:25,13:20,13:30,57860.0,57829.75,57830.402
2026-07-08,11:35,13:30,13:40,57829.75,57820.25,57851.99
2026-07-08,11:45,13:40,13:50,57820.25,57405.7,57822.926
2026-07-08,11:55,13:50,14:00,57405.7,57097.35,57550.918
2026-07-08,12:05,14:00,14:10,57097.35,56852.65,57219.5
2026-07-08,12:15,14:10,14:20,56852.65,56848.85,56852.94
2026-07-08,12:25,14:20,14:30,56848.85,56755.75,56786.24
2026-07-08,12:35,14:30,14:40,56755.75,56710.4,56736.027
2026-07-08,12:45,14:40,14:50,56710.4,56595.2,56775.8
2026-07-08,12:55,14:50,15:00,56595.2,56666.9,56536.766
2026-07-08,13:05,15:00,15:10,56666.9,56722.6,56644.25
2026-07-08,13:15,15:10,15:20,56722.6,56806.55,56599.527
2026-07-09,09:15,11:10,11:20,57202.15,57250.3,57194.23
2026-07-09,09:25,11:20,11:30,57250.3,57362.85,57219.508
2026-07-09,09:35,11:30,11:40,57362.85,57301.65,57346.547
2026-07-09,09:45,11:40,11:50,57301.65,57253.8,57285.02
2026-07-09,09:55,11:50,12:00,57253.8,57325.55,57256.023
2026-07-09,10:05,12:00,12:10,57325.55,57275.25,57279.02
2026-07-09,10:15,12:10,12:20,57275.25,57270.0,57267.215
2026-07-09,10:25,12:20,12:30,57270.0,57248.9,57293.14
2026-07-09,10:35,12:30,12:40,57248.9,57219.6,57281.59
2026-07-09,10:45,12:40,12:50,57219.6,57281.55,57236.49
2026-07-09,10:55,12:50,13:00,57281.55,57340.8,57248.15
2026-07-09,11:05,13:00,13:10,57340.8,57338.25,57294.766
2026-07-09,11:15,13:10,13:20,57338.25,57273.45,57304.684
2026-07-09,11:25,13:20,13:30,57273.45,57336.5,57290.805
2026-07-09,11:35,13:30,13:40,57336.5,57377.0,57290.41
2026-07-09,11:45,13:40,13:50,57377.0,57371.15,57367.117
2026-07-09,11:55,13:50,14:00,57371.15,57330.7,57352.91
2026-07-09,12:05,14:00,14:10,57330.7,57330.55,57344.87
2026-07-09,12:15,14:10,14:20,57330.55,57344.2,57276.035
2026-07-09,12:25,14:20,14:30,57344.2,57383.45,57337.875
2026-07-09,12:35,14:30,14:40,57383.45,57310.95,57394.902
2026-07-09,12:45,14:40,14:50,57310.95,57369.95,57309.887
2026-07-09,12:55,14:50,15:00,57369.95,57221.25,57298.043
2026-07-09,13:05,15:00,15:10,57221.25,57223.25,57235.676
2026-07-09,13:15,15:10,15:20,57223.25,57309.05,57189.156
2026-07-10,09:15,11:10,11:20,57944.0,57915.65,57944.676
2026-07-10,09:25,11:20,11:30,57915.65,57864.4,57894.457
2026-07-10,09:35,11:30,11:40,57864.4,57845.8,57851.32
2026-07-10,09:45,11:40,11:50,57845.8,57849.55,57849.26
2026-07-10,09:55,11:50,12:00,57849.55,57887.85,57866.86
2026-07-10,10:05,12:00,12:10,57887.85,57855.9,57926.195
2026-07-10,10:15,12:10,12:20,57855.9,57873.5,57869.695
2026-07-10,10:25,12:20,12:30,57873.5,57905.6,57880.1
2026-07-10,10:35,12:30,12:40,57905.6,58013.3,57888.605
2026-07-10,10:45,12:40,12:50,58013.3,58010.3,57968.137
2026-07-10,10:55,12:50,13:00,58010.3,58115.3,58001.87
2026-07-10,11:05,13:00,13:10,58115.3,58078.9,58093.094
2026-07-10,11:15,13:10,13:20,58078.9,57993.2,58061.207
2026-07-10,11:25,13:20,13:30,57993.2,58053.45,57993.902
2026-07-10,11:35,13:30,13:40,58053.45,58126.05,58078.863
2026-07-10,11:45,13:40,13:50,58126.05,58114.15,58138.58
2026-07-10,11:55,13:50,14:00,58114.15,58110.0,58102.625
2026-07-10,12:05,14:00,14:10,58110.0,58096.4,58107.67
2026-07-10,12:15,14:10,14:20,58096.4,58109.35,58099.49
2026-07-10,12:25,14:20,14:30,58109.35,58098.25,58105.957
2026-07-10,12:35,14:30,14:40,58098.25,58059.95,58092.586
2026-07-10,12:45,14:40,14:50,58059.95,58043.65,58087.977
2026-07-10,12:55,14:50,15:00,58043.65,58046.8,58077.465
2026-07-10,13:05,15:00,15:10,58046.8,58044.6,58073.59
2026-07-10,13:15,15:10,15:20,58044.6,58033.15,58069.74
2026-07-13,09:15,11:10,11:20,57935.2,57902.75,57974.17
2026-07-13,09:25,11:20,11:30,57902.75,57882.5,57903.586
2026-07-13,09:35,11:30,11:40,57882.5,57830.8,57907.363
2026-07-13,09:45,11:40,11:50,57830.8,57846.3,57806.51
2026-07-13,09:55,11:50,12:00,57846.3,57816.0,57852.258
2026-07-13,10:05,12:00,12:10,57816.0,57900.2,57780.754
2026-07-13,10:15,12:10,12:20,57900.2,57915.65,57894.254
2026-07-13,10:25,12:20,12:30,57915.65,57979.75,57971.93
2026-07-13,10:35,12:30,12:40,57979.75,57981.0,57995.57
2026-07-13,10:45,12:40,12:50,57981.0,58047.6,57963.465
2026-07-13,10:55,12:50,13:00,58047.6,57941.95,58089.586
2026-07-13,11:05,13:00,13:10,57941.95,58000.9,57882.23
