date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-06,09:15,11:10,11:20,822.5,823.5,823.0028
2026-07-06,09:25,11:20,11:30,823.5,824.35,823.23645
2026-07-06,09:35,11:30,11:40,824.35,825.45,823.9562
2026-07-06,09:45,11:40,11:50,825.45,826.35,825.50476
2026-07-06,09:55,11:50,12:00,826.35,827.6,825.72327
2026-07-06,10:05,12:00,12:10,827.6,827.5,827.0341
2026-07-06,10:15,12:10,12:20,827.5,827.55,827.33777
2026-07-06,10:25,12:20,12:30,827.55,827.5,827.393
2026-07-06,10:35,12:30,12:40,827.5,827.75,827.16077
2026-07-06,10:45,12:40,12:50,827.75,827.05,827.3377
2026-07-06,10:55,12:50,13:00,827.05,829.85,827.2049
2026-07-06,11:05,13:00,13:10,829.85,829.6,829.30566
2026-07-06,11:15,13:10,13:20,829.6,829.4,830.4967
2026-07-06,11:25,13:20,13:30,829.4,829.7,828.5177
2026-07-06,11:35,13:30,13:40,829.7,829.5,829.2314
2026-07-06,11:45,13:40,13:50,829.5,829.9,829.9718
2026-07-06,11:55,13:50,14:00,829.9,830.5,829.9214
2026-07-06,12:05,14:00,14:10,830.5,828.65,830.37616
2026-07-06,12:15,14:10,14:20,828.65,829.5,829.8282
2026-07-06,12:25,14:20,14:30,829.5,830.35,829.526
2026-07-06,12:35,14:30,14:40,830.35,830.25,829.7886
2026-07-06,12:45,14:40,14:50,830.25,829.75,830.43
2026-07-06,12:55,14:50,15:00,829.75,829.9,830.54877
2026-07-06,13:05,15:00,15:10,829.9,830.35,829.36444
2026-07-06,13:15,15:10,15:20,830.35,829.4,830.52124
2026-07-07,09:15,11:10,11:20,837.45,835.9,836.389
2026-07-07,09:25,11:20,11:30,835.9,836.35,836.19995
2026-07-07,09:35,11:30,11:40,836.35,837.1,836.5156
2026-07-07,09:45,11:40,11:50,837.1,837.75,836.2623
2026-07-07,09:55,11:50,12:00,837.75,837.25,837.7961
2026-07-07,10:05,12:00,12:10,837.25,836.85,836.90466
2026-07-07,10:15,12:10,12:20,836.85,836.2,836.9098
2026-07-07,10:25,12:20,12:30,836.2,835.65,835.99066
2026-07-07,10:35,12:30,12:40,835.65,835.4,836.38275
2026-07-07,10:45,12:40,12:50,835.4,834.8,835.24713
2026-07-07,10:55,12:50,13:00,834.8,832.8,835.17926
2026-07-07,11:05,13:00,13:10,832.8,830.4,834.3139
2026-07-07,11:15,13:10,13:20,830.4,830.1,830.9215
2026-07-07,11:25,13:20,13:30,830.1,830.25,830.106
2026-07-07,11:35,13:30,13:40,830.25,830.4,831.2289
2026-07-07,11:45,13:40,13:50,830.4,828.65,830.74384
2026-07-07,11:55,13:50,14:00,828.65,831.6,829.8058
2026-07-07,12:05,14:00,14:10,831.6,831.85,829.88007
2026-07-07,12:15,14:10,14:20,831.85,831.6,831.7239
