date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-06,09:15,11:10,11:20,822.5,823.5,822.777
2026-07-07,09:15,11:10,11:20,837.45,835.9,837.50775
2026-07-08,09:15,11:10,11:20,828.15,826.85,828.2786
2026-07-09,09:15,11:10,11:20,819.0,818.65,819.505
2026-07-10,09:15,11:10,11:20,825.05,824.5,825.1489
2026-07-13,09:15,11:10,11:20,820.0,820.0,819.2501
2026-07-14,09:15,11:10,11:20,816.7,814.3,815.935
2026-07-15,09:15,11:10,11:20,816.45,816.85,817.1299
2026-07-16,09:15,11:10,11:20,813.8,812.9,813.7794
2026-07-17,09:15,11:10,11:20,817.45,818.65,817.6821
