timestamps,open,high,low,close,volume,amount
2026-06-24 09:15:00,773.0,783.05,772.65,782.95,5109231,4000272411.4500003
2026-06-24 10:15:00,783.0,790.8,782.3,789.0,4889849,3858090861.0
2026-06-24 11:15:00,789.05,791.75,788.05,789.1,5253697,4145692302.7000003
2026-06-24 12:15:00,789.25,791.2,788.7,789.6,3117158,2461307956.8
2026-06-24 13:15:00,789.5,791.3,788.1,789.75,3512714,2774165881.5
2026-06-24 14:15:00,789.75,794.8,789.15,792.45,9160217,7259013961.650001
2026-06-24 15:15:00,792.5,794.9,792.15,792.8,3261896,2586031148.7999997
2026-06-25 09:15:00,798.5,801.65,796.0,798.85,11147547,8905217920.95
2026-06-25 10:15:00,798.85,799.9,797.5,797.7,3682609,2937617199.3
2026-06-25 11:15:00,797.7,804.45,797.2,803.25,7059477,5670524900.25
2026-06-25 12:15:00,803.3,803.9,800.0,801.95,5722282,4588984049.900001
2026-06-25 13:15:00,801.75,803.0,798.35,798.6,6031253,4816558645.8
2026-06-25 14:15:00,798.55,799.95,794.75,795.95,10626844,8458436481.8
2026-06-25 15:15:00,795.95,797.35,795.5,796.0,2221148,1768033808.0
2026-06-29 09:15:00,800.0,802.65,793.3,796.2,7318237,5826780299.400001
2026-06-29 10:15:00,796.2,805.6,795.05,804.25,9885611,7950502646.75
2026-06-29 11:15:00,804.05,805.9,798.4,798.75,3892585,3109202268.75
2026-06-29 12:15:00,798.85,798.85,794.55,796.8,3136283,2498990294.4
2026-06-29 13:15:00,796.95,798.65,795.85,797.45,3265149,2603793070.05
2026-06-29 14:15:00,797.5,799.9,795.65,798.85,11758135,9392986144.75
2026-06-29 15:15:00,798.85,799.65,796.25,797.35,5915722,4716900936.7
2026-06-30 09:15:00,806.1,806.1,792.75,794.65,6530310,5189310841.5
2026-06-30 10:15:00,794.5,797.9,794.0,797.1,3431113,2734940172.3
2026-06-30 11:15:00,797.1,800.45,796.65,799.6,5040830,4030647668.0
2026-06-30 12:15:00,799.65,800.6,797.7,799.3,5144891,4112311376.2999997
2026-06-30 13:15:00,799.3,800.05,796.6,798.7,4197765,3352754905.5
2026-06-30 14:15:00,798.7,801.7,796.55,797.45,14688110,11713033319.5
2026-06-30 15:15:00,797.5,800.5,797.3,800.45,5964393,4774198376.85
2026-07-01 09:15:00,793.5,800.95,793.5,797.65,3620896,2888207694.4
2026-07-01 10:15:00,797.65,799.5,795.1,797.9,3142493,2507395164.7
2026-07-01 11:15:00,798.0,802.25,797.1,800.8,3264002,2613812801.6
2026-07-01 12:15:00,800.8,801.7,799.6,801.45,2405863,1928178901.3500001
2026-07-01 13:15:00,801.5,801.6,797.9,799.0,3675992,2937117608.0
2026-07-01 14:15:00,799.0,799.35,795.3,796.25,5690176,4530802640.0
2026-07-01 15:15:00,796.3,796.7,795.55,796.0,3446348,2743293008.0
2026-07-02 09:15:00,795.0,805.45,795.0,799.05,6601549,5274967728.45
2026-07-02 10:15:00,799.05,801.4,796.6,798.75,3400883,2716455296.25
2026-07-02 11:15:00,798.85,800.4,797.5,798.3,4347633,3470715423.8999996
2026-07-02 12:15:00,798.3,799.9,797.65,798.0,3996610,3189294780.0
