,actual_close,predicted_close,error
2026-06-29,798.9,790.5783,-8.321691894531227
2026-06-30,797.95,819.27625,21.326245117187455
2026-07-01,796.15,808.91223,12.762231445312523
2026-07-02,795.9,795.07904,-0.8209594726562273
2026-07-03,801.05,787.1378,-13.912182617187455
2026-07-06,829.85,813.9058,-15.944177246093773
2026-07-07,829.3,808.4533,-20.846691894531205
2026-07-08,810.3,832.8954,22.595385742187545
2026-07-09,817.55,812.9242,-4.6258056640624545
2026-07-10,824.95,802.1509,-22.799121093750045
2026-07-13,817.95,836.1176,18.167614746093705
2026-07-14,809.4,818.20856,8.808557128906273
2026-07-15,815.45,803.4074,-12.042590332031295
2026-07-16,808.3,806.1547,-2.1452758789062045
2026-07-17,819.6,797.94696,-21.653039550781273
2026-07-20,777.6,811.57056,33.97055664062498
2026-07-21,761.45,712.43774,-49.012255859375045
2026-07-22,753.15,751.0811,-2.0688842773437273
2026-07-23,747.25,752.1346,4.88458251953125
2026-07-24,742.8,767.74866,24.948657226562545
