timestamps,open,high,low,close,volume,amount
2023-06-01,810.0,810.0,800.0,802.0,50366938,40394284276.0
2023-06-02,806.2,807.4,800.5,803.2,17859710,14344919072.0
2023-06-05,807.2,808.2,801.2,802.2,18697242,14998927532.400002
2023-06-06,803.8,804.9,796.1,799.7,32182852,25736626744.4
2023-06-07,801.7,806.3,798.0,803.8,24949026,20054027098.8
2023-06-08,801.6,813.0,801.6,804.4,37395522,30080957896.8
2023-06-09,808.0,809.2,803.5,805.3,18212578,14666589063.4
2023-06-12,806.3,807.9,799.7,800.4,13408292,10731996916.8
2023-06-13,795.0,804.5,795.0,801.8,27926108,22391153394.399998
2023-06-14,805.2,806.0,800.1,800.9,20113968,16109276971.199999
2023-06-15,802.0,803.0,789.5,791.0,35377476,27983583516.0
2023-06-16,793.6,804.6,792.0,801.4,15779272,12645508580.8
2023-06-19,805.5,807.1,799.2,802.1,24829146,19915458006.600002
2023-06-20,802.1,805.5,795.3,803.8,20005626,16080522178.8
2023-06-21,808.0,818.6,805.5,817.8,24308946,19879856038.8
2023-06-22,820.0,828.8,819.5,821.8,56596140,46510707852.0
2023-06-23,818.8,830.0,817.0,821.8,21339218,17536569352.399998
2023-06-26,822.5,825.4,814.4,817.8,16130314,13191370789.199999
2023-06-27,821.5,836.4,819.3,829.3,33831864,28056764815.199997
2023-06-28,835.0,840.0,830.2,838.1,59562950,49919708395.0
2023-06-30,852.0,854.4,841.6,850.7,40699016,34622652911.200005
2023-07-03,856.2,878.8,855.0,859.9,44104116,37925129348.4
2023-07-04,861.7,873.5,856.9,864.1,38795188,33522921950.8
2023-07-05,858.1,860.0,834.3,836.6,37165754,31092869796.4
2023-07-06,836.5,843.9,830.2,837.5,52156544,43681105600.0
2023-07-07,832.5,837.5,828.2,830.2,19926336,16542844147.2
2023-07-10,830.5,838.4,824.8,828.2,38398442,31801589664.4
2023-07-11,831.5,838.0,822.8,824.2,50670426,41762565109.200005
2023-07-12,827.7,833.2,813.6,816.5,70958358,57937499307.0
2023-07-13,828.4,828.7,819.0,820.6,41913546,34394255847.6
2023-07-14,826.8,826.8,817.5,822.2,24727214,20330715350.8
2023-07-17,825.0,841.0,816.5,839.4,49252928,41342907763.2
2023-07-18,849.0,852.0,835.0,838.8,81076818,68007234938.399994
2023-07-19,840.6,844.4,837.5,842.6,32935134,27751143908.4
2023-07-20,840.6,846.0,840.0,844.4,56210948,47464524491.2
2023-07-21,840.0,844.9,836.6,837.9,42154248,35321044399.2
2023-07-24,839.2,842.3,835.0,839.2,32179444,27004989404.800003
2023-07-25,842.3,849.5,839.2,848.3,55992596,47498519186.799995
2023-07-26,849.8,849.8,844.0,845.4,24794358,20961150253.2
2023-07-27,850.0,851.5,833.7,836.6,59741302,49979573253.200005
2023-07-28,830.8,834.4,820.6,821.8,41015684,33706689111.199997
2023-07-31,825.0,828.4,819.4,825.6,34565006,28536868953.600002
2023-08-01,827.2,833.7,825.0,831.1,35394188,29416109646.8
2023-08-02,821.0,825.8,816.6,820.2,28116322,23061007304.4
2023-08-03,820.0,825.7,811.5,814.3,57673946,46963894227.799995
2023-08-04,817.6,828.2,814.6,826.1,37388304,30886477934.4
2023-08-07,831.6,831.6,823.8,825.6,28300918,23365237900.8
2023-08-08,825.8,827.8,821.0,825.0,43773828,36113408100.0
2023-08-09,826.5,827.2,815.6,825.2,33361236,27529691947.2
2023-08-10,823.5,827.1,815.5,817.9,50781118,41533876412.2
2023-08-11,819.2,819.2,808.1,809.4,28225822,22845980326.8
2023-08-14,805.5,807.5,800.1,805.4,31304410,25212571814.0
2023-08-16,791.6,804.8,790.6,803.1,34137542,27415859980.2
2023-08-17,798.8,805.0,797.0,798.6,52884040,42233194344.0
2023-08-18,793.8,798.2,792.8,795.4,25633366,20388779316.399998
2023-08-21,800.2,800.2,793.5,794.8,21837270,17356262196.0
2023-08-22,798.2,799.0,790.0,791.4,32273570,25541303298.0
2023-08-23,790.0,795.3,786.6,793.3,36498588,28954329860.399998
2023-08-24,796.6,798.1,788.1,789.6,43145792,34067917363.2
2023-08-25,787.3,788.8,779.2,780.8,30069756,23478465484.8
2023-08-28,780.8,791.3,780.8,788.9,28867238,22773364058.2
2023-08-29,794.8,796.3,790.7,795.2,35538932,28260558726.4
2023-08-30,802.0,802.0,786.8,789.4,28084204,22169670637.6
2023-08-31,789.5,791.6,781.6,785.7,100075772,78629534060.40001
2023-09-01,785.5,789.5,779.7,787.4,43226776,34036763422.399998
2023-09-04,795.0,795.7,787.4,792.3,25073638,19865843387.399998
2023-09-05,794.2,794.2,785.3,787.4,38712082,30481893366.8
2023-09-06,788.4,800.0,787.4,797.8,56320910,44932821998.0
2023-09-07,797.8,807.0,793.6,805.4,34208342,27551398646.8
2023-09-08,804.2,816.4,803.8,811.7,34502210,28005443857.0
2023-09-11,814.4,818.2,812.0,815.9,31573022,25760428649.8
2023-09-12,820.0,821.4,812.5,818.4,39033340,31944885456.0
2023-09-13,815.6,825.8,814.3,822.0,46420094,38157317268.0
2023-09-14,822.1,825.0,817.6,821.4,23538848,19334809747.2
2023-09-15,825.0,835.0,825.0,830.9,173411202,144087367741.8
2023-09-18,826.9,827.5,813.0,814.5,37056288,30182346576.0
2023-09-20,799.5,799.5,780.2,781.8,115474648,90278079806.4
2023-09-21,776.5,784.5,768.5,776.7,72841442,56575948001.4
2023-09-22,779.5,782.2,761.9,764.8,61704250,47191410400.0
2023-09-25,762.5,770.4,762.5,765.5,40208754,30779801187.0
2023-09-26,762.5,770.0,762.5,768.8,27575308,21199896790.399998
2023-09-27,761.5,766.2,757.5,763.4,39338538,30031039909.2
2023-09-28,767.0,768.8,759.2,761.8,55354188,42168820418.399994
2023-09-29,761.8,767.7,761.2,763.2,32053782,24463446422.4
2023-10-03,763.5,763.5,753.0,754.0,38971694,29384657276.0
2023-10-04,747.5,767.5,744.6,764.8,54649430,41795884064.0
2023-10-05,767.5,775.8,766.3,767.9,48512674,37252882364.6
2023-10-06,772.0,772.5,764.9,767.0,17759356,13621426052.0
2023-10-09,764.0,765.0,756.0,758.1,16454972,12474514273.2
2023-10-10,760.3,764.5,757.6,762.4,33266292,25362221020.8
2023-10-11,765.0,771.1,764.2,769.8,31333360,24120420528.0
2023-10-12,768.0,776.0,765.8,774.9,22025336,17067432866.4
2023-10-13,770.0,774.4,765.0,767.9,39745300,30520415870.0
2023-10-16,765.8,767.2,760.2,764.8,17856084,13656333043.199999
2023-10-17,777.9,777.9,767.5,770.6,32902558,25354711194.8
2023-10-18,770.6,770.6,759.0,759.9,31216200,23721190380.0
2023-10-19,752.7,763.1,751.6,757.5,30252364,22916165730.0
2023-10-20,752.5,763.5,752.5,761.4,21094010,16060979214.0
2023-10-23,761.8,764.4,750.0,753.0,22376136,16849230408.0
2023-10-25,760.5,761.4,745.7,748.2,28311996,21183035407.2
2023-10-26,745.6,746.0,730.1,731.7,55561798,40654567596.600006
2023-10-27,734.8,739.0,733.4,734.6,31940532,23463514807.2
2023-10-30,731.6,745.0,731.0,742.6,23310982,17310735233.2
2023-10-31,752.0,752.0,737.0,738.2,32634824,24091027076.800003
2023-11-01,731.1,738.7,731.1,737.2,33877466,24974467935.2
2023-11-02,742.5,745.2,733.6,738.4,45225154,33394253713.6
2023-11-03,744.0,745.7,740.8,741.9,18095340,13424932746.0
2023-11-06,749.0,749.0,741.5,747.2,25593730,19123635056.0
2023-11-07,747.0,747.0,738.6,743.6,41952848,31196137772.8
2023-11-08,742.0,746.7,740.5,745.8,31399546,23417781406.8
2023-11-09,743.0,746.3,741.8,742.8,22116740,16428314471.999998
2023-11-10,740.0,748.0,740.0,745.8,14015186,10452525718.8
2023-11-12,750.0,751.0,748.1,750.0,3950926,2963194500.0
2023-11-13,746.0,748.0,743.0,744.4,20605914,15339042381.6
2023-11-15,752.0,755.5,750.3,752.2,41245460,31024835012.0
