,open,high,low,close,volume,amount
2026-07-27,747.839,755.34595,706.97534,741.7336,4.5436892e+07,3.720538e+10
2026-07-28,730.82025,738.19696,721.4429,728.02014,3.1953076e+07,2.7043662e+10
2026-07-29,731.7049,745.7317,730.07886,741.546,2.9586658e+07,2.5345739e+10
2026-07-30,750.9087,764.6118,750.56415,760.0552,3.5434756e+07,2.981242e+10
2026-07-31,759.56177,765.8444,755.4773,759.44995,2.7630362e+07,2.4061784e+10
2026-08-03,762.089,774.18164,760.61755,770.61096,2.2941798e+07,2.020988e+10
2026-08-04,768.10583,774.0184,762.5443,766.9352,2.2652986e+07,2.0053586e+10
2026-08-05,767.1124,778.73596,766.19275,775.83844,2.5378032e+07,2.2125009e+10
2026-08-06,778.5619,788.84985,775.21246,779.7571,2.4723234e+07,2.1692236e+10
2026-08-07,777.64417,786.29376,770.5319,770.71765,3.0594392e+07,2.6651886e+10
2026-08-10,773.29407,779.33685,767.8031,772.702,2.3204616e+07,2.0419613e+10
2026-08-11,773.03284,777.1332,766.7564,769.3506,1.9226152e+07,1.7423315e+10
2026-08-12,769.8223,774.5153,764.6527,767.76373,1.830873e+07,1.6732215e+10
2026-08-13,765.9264,778.6166,763.2152,766.7794,2.952326e+07,2.5752752e+10
2026-08-14,769.5702,781.85815,766.7341,778.5316,2.960473e+07,2.540533e+10
2026-08-17,777.96173,786.4597,773.6026,782.4267,2.9680574e+07,2.5469884e+10
2026-08-18,781.7634,788.29944,772.0849,779.1557,1.8003478e+07,1.6973859e+10
2026-08-19,779.3372,785.79474,776.3011,780.78564,1.6856524e+07,1.5705367e+10
2026-08-20,781.356,789.4228,778.80566,784.9603,2.0342292e+07,1.81939e+10
2026-08-21,782.7352,805.1991,779.9103,781.7566,3.188048e+07,2.735873e+10
