date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-06,09:15,10:10,10:20,821.0,822.9,821.6889
2026-07-06,09:25,10:20,10:30,822.9,822.6,821.5244
2026-07-06,09:35,10:30,10:40,822.6,822.75,822.10205
2026-07-06,09:45,10:40,10:50,822.75,823.45,822.03876
2026-07-06,09:55,10:50,11:00,823.45,822.5,823.9154
2026-07-06,10:05,11:00,11:10,822.5,822.5,822.84973
2026-07-06,10:15,11:10,11:20,822.5,823.5,823.38586
2026-07-06,10:25,11:20,11:30,823.5,824.35,823.15875
2026-07-06,10:35,11:30,11:40,824.35,825.45,823.54785
2026-07-06,10:45,11:40,11:50,825.45,826.35,824.1423
2026-07-06,10:55,11:50,12:00,826.35,827.6,827.20715
2026-07-06,11:05,12:00,12:10,827.6,827.5,828.1037
2026-07-06,11:15,12:10,12:20,827.5,827.55,827.1854
2026-07-06,11:25,12:20,12:30,827.55,827.5,827.2945
2026-07-06,11:35,12:30,12:40,827.5,827.75,827.4219
2026-07-06,11:45,12:40,12:50,827.75,827.05,827.251
2026-07-06,11:55,12:50,13:00,827.05,829.85,827.70105
2026-07-06,12:05,13:00,13:10,829.85,829.6,829.3262
2026-07-06,12:15,13:10,13:20,829.6,829.4,828.6826
2026-07-06,12:25,13:20,13:30,829.4,829.7,829.64703
2026-07-06,12:35,13:30,13:40,829.7,829.5,829.2499
2026-07-06,12:45,13:40,13:50,829.5,829.9,829.28436
2026-07-06,12:55,13:50,14:00,829.9,830.5,829.9107
2026-07-06,13:05,14:00,14:10,830.5,828.65,830.4851
2026-07-06,13:15,14:10,14:20,828.65,829.5,829.11926
2026-07-06,13:25,14:20,14:30,829.5,830.35,829.3295
2026-07-06,13:35,14:30,14:40,830.35,830.25,830.17645
2026-07-06,13:45,14:40,14:50,830.25,829.75,830.68756
2026-07-06,13:55,14:50,15:00,829.75,829.9,829.73126
2026-07-06,14:05,15:00,15:10,829.9,830.35,828.8861
2026-07-06,14:15,15:10,15:20,830.35,829.4,830.1525
2026-07-07,09:15,10:10,10:20,836.45,837.2,835.7648
2026-07-07,09:25,10:20,10:30,837.2,836.65,838.85034
2026-07-07,09:35,10:30,10:40,836.65,836.6,836.94366
2026-07-07,09:45,10:40,10:50,836.6,836.4,836.98596
2026-07-07,09:55,10:50,11:00,836.4,836.55,836.27264
2026-07-07,10:05,11:00,11:10,836.55,837.45,836.5582
2026-07-07,10:15,11:10,11:20,837.45,835.9,837.02295
2026-07-07,10:25,11:20,11:30,835.9,836.35,835.8927
2026-07-07,10:35,11:30,11:40,836.35,837.1,835.94653
2026-07-07,10:45,11:40,11:50,837.1,837.75,837.1846
2026-07-07,10:55,11:50,12:00,837.75,837.25,837.9411
2026-07-07,11:05,12:00,12:10,837.25,836.85,837.5276
2026-07-07,11:15,12:10,12:20,836.85,836.2,836.9458
2026-07-07,11:25,12:20,12:30,836.2,835.65,836.31793
2026-07-07,11:35,12:30,12:40,835.65,835.4,835.5322
2026-07-07,11:45,12:40,12:50,835.4,834.8,835.3686
2026-07-07,11:55,12:50,13:00,834.8,832.8,834.7207
2026-07-07,12:05,13:00,13:10,832.8,830.4,833.8735
2026-07-07,12:15,13:10,13:20,830.4,830.1,830.289
2026-07-07,12:25,13:20,13:30,830.1,830.25,830.0392
2026-07-07,12:35,13:30,13:40,830.25,830.4,829.6411
2026-07-07,12:45,13:40,13:50,830.4,828.65,830.33014
2026-07-07,12:55,13:50,14:00,828.65,831.6,829.0716
2026-07-07,13:05,14:00,14:10,831.6,831.85,831.7702
2026-07-07,13:15,14:10,14:20,831.85,831.6,832.3392
2026-07-07,13:25,14:20,14:30,831.6,831.75,831.6561
2026-07-07,13:35,14:30,14:40,831.75,832.15,832.28
2026-07-07,13:45,14:40,14:50,832.15,832.4,832.2992
2026-07-07,13:55,14:50,15:00,832.4,829.95,832.01447
2026-07-07,14:05,15:00,15:10,829.95,829.3,831.9391
2026-07-07,14:15,15:10,15:20,829.3,828.05,829.05786
2026-07-08,09:15,10:10,10:20,830.6,827.35,830.4188
2026-07-08,09:25,10:20,10:30,827.35,829.65,827.571
2026-07-08,09:35,10:30,10:40,829.65,829.55,828.25525
2026-07-08,09:45,10:40,10:50,829.55,829.2,830.2884
2026-07-08,09:55,10:50,11:00,829.2,829.0,829.0622
2026-07-08,10:05,11:00,11:10,829.0,828.15,829.75244
2026-07-08,10:15,11:10,11:20,828.15,826.85,827.8771
2026-07-08,10:25,11:20,11:30,826.85,827.0,827.2237
2026-07-08,10:35,11:30,11:40,827.0,826.45,826.73096
2026-07-08,10:45,11:40,11:50,826.45,826.95,826.86615
2026-07-08,10:55,11:50,12:00,826.95,826.95,826.1139
2026-07-08,11:05,12:00,12:10,826.95,826.6,826.19684
2026-07-08,11:15,12:10,12:20,826.6,827.05,827.1773
2026-07-08,11:25,12:20,12:30,827.05,825.5,826.6449
2026-07-08,11:35,12:30,12:40,825.5,826.4,826.53235
2026-07-08,11:45,12:40,12:50,826.4,826.95,825.4548
2026-07-08,11:55,12:50,13:00,826.95,827.15,826.26605
2026-07-08,12:05,13:00,13:10,827.15,827.5,827.2005
2026-07-08,12:15,13:10,13:20,827.5,829.45,827.0557
2026-07-08,12:25,13:20,13:30,829.45,828.8,829.70184
2026-07-08,12:35,13:30,13:40,828.8,826.8,829.22156
2026-07-08,12:45,13:40,13:50,826.8,821.55,827.8279
2026-07-08,12:55,13:50,14:00,821.55,814.5,823.61694
2026-07-08,13:05,14:00,14:10,814.5,812.85,820.8104
2026-07-08,13:15,14:10,14:20,812.85,813.05,812.76514
2026-07-08,13:25,14:20,14:30,813.05,811.4,811.0937
2026-07-08,13:35,14:30,14:40,811.4,810.75,812.7185
2026-07-08,13:45,14:40,14:50,810.75,807.8,808.67114
2026-07-08,13:55,14:50,15:00,807.8,809.75,808.3659
2026-07-08,14:05,15:00,15:10,809.75,811.15,808.57886
2026-07-08,14:15,15:10,15:20,811.15,810.35,811.325
2026-07-09,09:15,10:10,10:20,816.1,814.7,816.70886
2026-07-09,09:25,10:20,10:30,814.7,814.8,815.0571
2026-07-09,09:35,10:30,10:40,814.8,816.9,813.9485
2026-07-09,09:45,10:40,10:50,816.9,816.2,816.3956
2026-07-09,09:55,10:50,11:00,816.2,818.15,815.73865
