date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-06,09:15,10:10,10:15,821.0,822.5,822.72925
2026-07-06,09:20,10:15,10:20,822.5,822.9,821.63525
2026-07-06,09:25,10:20,10:25,822.9,822.95,821.1884
2026-07-06,09:30,10:25,10:30,822.95,822.6,822.41455
2026-07-06,09:35,10:30,10:35,822.6,821.95,822.2749
2026-07-06,09:40,10:35,10:40,821.95,822.75,822.2324
2026-07-06,09:45,10:40,10:45,822.75,825.0,822.04614
2026-07-06,09:50,10:45,10:50,825.0,823.45,823.46796
2026-07-06,09:55,10:50,10:55,823.45,824.5,823.1083
2026-07-06,10:00,10:55,11:00,824.5,822.5,823.7498
2026-07-06,10:05,11:00,11:05,822.5,823.3,822.9704
2026-07-06,10:10,11:05,11:10,823.3,822.5,822.7624
2026-07-06,10:15,11:10,11:15,822.5,822.85,823.0597
2026-07-06,10:20,11:15,11:20,822.85,823.5,822.3349
2026-07-06,10:25,11:20,11:25,823.5,824.0,823.1092
2026-07-06,10:30,11:25,11:30,824.0,824.35,823.6911
2026-07-06,10:35,11:30,11:35,824.35,825.5,823.8253
2026-07-06,10:40,11:35,11:40,825.5,825.45,825.2915
2026-07-06,10:45,11:40,11:45,825.45,826.35,824.74915
2026-07-06,10:50,11:45,11:50,826.35,826.35,826.1129
2026-07-06,10:55,11:50,11:55,826.35,826.6,826.236
2026-07-06,11:00,11:55,12:00,826.6,827.6,826.79205
2026-07-06,11:05,12:00,12:05,827.6,826.9,826.9172
2026-07-06,11:10,12:05,12:10,826.9,827.5,826.7455
2026-07-06,11:15,12:10,12:15,827.5,827.1,827.3156
2026-07-06,11:20,12:15,12:20,827.1,827.55,827.2102
2026-07-06,11:25,12:20,12:25,827.55,827.3,827.73755
2026-07-06,11:30,12:25,12:30,827.3,827.5,826.826
2026-07-06,11:35,12:30,12:35,827.5,827.65,827.2492
2026-07-06,11:40,12:35,12:40,827.65,827.75,827.8712
2026-07-06,11:45,12:40,12:45,827.75,827.2,827.89026
2026-07-06,11:50,12:45,12:50,827.2,827.05,827.45593
2026-07-06,11:55,12:50,12:55,827.05,828.55,827.2683
2026-07-06,12:00,12:55,13:00,828.55,829.85,827.028
2026-07-06,12:05,13:00,13:05,829.85,830.6,829.3957
2026-07-06,12:10,13:05,13:10,830.6,829.6,829.242
2026-07-06,12:15,13:10,13:15,829.6,829.35,830.95966
2026-07-06,12:20,13:15,13:20,829.35,829.4,829.31213
2026-07-06,12:25,13:20,13:25,829.4,829.65,829.3113
2026-07-06,12:30,13:25,13:30,829.65,829.7,829.69604
2026-07-06,12:35,13:30,13:35,829.7,829.95,829.40106
2026-07-06,12:40,13:35,13:40,829.95,829.5,830.2223
2026-07-06,12:45,13:40,13:45,829.5,829.95,829.32587
2026-07-06,12:50,13:45,13:50,829.95,829.9,829.56433
2026-07-06,12:55,13:50,13:55,829.9,830.05,830.0584
2026-07-06,13:00,13:55,14:00,830.05,830.5,829.7654
2026-07-06,13:05,14:00,14:05,830.5,829.4,830.23175
2026-07-06,13:10,14:05,14:10,829.4,828.65,830.14197
2026-07-06,13:15,14:10,14:15,828.65,829.2,829.2049
2026-07-06,13:20,14:15,14:20,829.2,829.5,829.4687
2026-07-06,13:25,14:20,14:25,829.5,829.4,829.4237
2026-07-06,13:30,14:25,14:30,829.4,830.35,829.63354
2026-07-06,13:35,14:30,14:35,830.35,830.75,830.1271
2026-07-06,13:40,14:35,14:40,830.75,830.25,831.0185
2026-07-06,13:45,14:40,14:45,830.25,829.55,830.6014
2026-07-06,13:50,14:45,14:50,829.55,829.75,829.9418
2026-07-06,13:55,14:50,14:55,829.75,829.15,829.63617
2026-07-06,14:00,14:55,15:00,829.15,829.9,828.93353
2026-07-06,14:05,15:00,15:05,829.9,830.4,829.2612
2026-07-06,14:10,15:05,15:10,830.4,830.35,830.88727
2026-07-06,14:15,15:10,15:15,830.35,829.6,830.2281
2026-07-06,14:20,15:15,15:20,829.6,829.4,829.6741
2026-07-06,14:25,15:20,15:25,829.4,828.0,829.5242
2026-07-07,09:15,10:10,10:15,836.45,837.35,834.73584
2026-07-07,09:20,10:15,10:20,837.35,837.2,836.3027
2026-07-07,09:25,10:20,10:25,837.2,837.6,836.158
2026-07-07,09:30,10:25,10:30,837.6,836.65,838.83704
2026-07-07,09:35,10:30,10:35,836.65,836.4,836.28595
2026-07-07,09:40,10:35,10:40,836.4,836.6,836.43164
2026-07-07,09:45,10:40,10:45,836.6,836.9,837.0608
2026-07-07,09:50,10:45,10:50,836.9,836.4,836.8329
2026-07-07,09:55,10:50,10:55,836.4,836.45,836.5807
2026-07-07,10:00,10:55,11:00,836.45,836.55,836.232
2026-07-07,10:05,11:00,11:05,836.55,837.25,836.5986
2026-07-07,10:10,11:05,11:10,837.25,837.45,836.88904
2026-07-07,10:15,11:10,11:15,837.45,835.65,836.8215
2026-07-07,10:20,11:15,11:20,835.65,835.9,836.33594
2026-07-07,10:25,11:20,11:25,835.9,835.85,835.8522
2026-07-07,10:30,11:25,11:30,835.85,836.35,835.9176
2026-07-07,10:35,11:30,11:35,836.35,836.6,835.7756
2026-07-07,10:40,11:35,11:40,836.6,837.1,836.1127
2026-07-07,10:45,11:40,11:45,837.1,836.65,837.5693
2026-07-07,10:50,11:45,11:50,836.65,837.75,836.5872
2026-07-07,10:55,11:50,11:55,837.75,837.55,837.28064
2026-07-07,11:00,11:55,12:00,837.55,837.25,837.81616
2026-07-07,11:05,12:00,12:05,837.25,837.45,837.33844
2026-07-07,11:10,12:05,12:10,837.45,836.85,837.21106
2026-07-07,11:15,12:10,12:15,836.85,836.35,836.49084
2026-07-07,11:20,12:15,12:20,836.35,836.2,836.58826
2026-07-07,11:25,12:20,12:25,836.2,836.45,836.47656
2026-07-07,11:30,12:25,12:30,836.45,835.65,836.08826
2026-07-07,11:35,12:30,12:35,835.65,834.75,835.5616
2026-07-07,11:40,12:35,12:40,834.75,835.4,834.39014
2026-07-07,11:45,12:40,12:45,835.4,835.3,836.07367
2026-07-07,11:50,12:45,12:50,835.3,834.8,835.0735
2026-07-07,11:55,12:50,12:55,834.8,833.7,834.4638
2026-07-07,12:00,12:55,13:00,833.7,832.8,833.99884
2026-07-07,12:05,13:00,13:05,832.8,831.75,833.0055
2026-07-07,12:10,13:05,13:10,831.75,830.4,832.92236
2026-07-07,12:15,13:10,13:15,830.4,829.55,830.8071
2026-07-07,12:20,13:15,13:20,829.55,830.1,829.7461
2026-07-07,12:25,13:20,13:25,830.1,830.7,829.6157
2026-07-07,12:30,13:25,13:30,830.7,830.25,830.65027
2026-07-07,12:35,13:30,13:35,830.25,830.0,829.9993
2026-07-07,12:40,13:35,13:40,830.0,830.4,829.9058
2026-07-07,12:45,13:40,13:45,830.4,830.0,830.8077
