date,window_start,predict_from,predict_to,given_end_price,actual_close,predicted_close
2026-07-06,09:15,09:40,09:50,819.2,821.05,818.9707
2026-07-06,09:25,09:50,10:00,821.05,822.6,820.0837
2026-07-06,09:35,10:00,10:10,822.6,821.0,822.3799
2026-07-06,09:45,10:10,10:20,821.0,822.9,822.3195
2026-07-06,09:55,10:20,10:30,822.9,822.6,820.9213
2026-07-06,10:05,10:30,10:40,822.6,822.75,822.10394
2026-07-06,10:15,10:40,10:50,822.75,823.45,822.48303
2026-07-06,10:25,10:50,11:00,823.45,822.5,823.3009
2026-07-06,10:35,11:00,11:10,822.5,822.5,823.1236
2026-07-06,10:45,11:10,11:20,822.5,823.5,822.89307
2026-07-06,10:55,11:20,11:30,823.5,824.35,822.5858
2026-07-06,11:05,11:30,11:40,824.35,825.45,824.32446
2026-07-06,11:15,11:40,11:50,825.45,826.35,825.57104
2026-07-06,11:25,11:50,12:00,826.35,827.6,826.4731
2026-07-06,11:35,12:00,12:10,827.6,827.5,826.5535
2026-07-06,11:45,12:10,12:20,827.5,827.55,827.4558
2026-07-06,11:55,12:20,12:30,827.55,827.5,827.65796
2026-07-06,12:05,12:30,12:40,827.5,827.75,827.4782
2026-07-06,12:15,12:40,12:50,827.75,827.05,827.7111
2026-07-06,12:25,12:50,13:00,827.05,829.85,826.93005
2026-07-06,12:35,13:00,13:10,829.85,829.6,829.77515
2026-07-06,12:45,13:10,13:20,829.6,829.4,829.1306
2026-07-06,12:55,13:20,13:30,829.4,829.7,829.35815
2026-07-06,13:05,13:30,13:40,829.7,829.5,829.7137
2026-07-06,13:15,13:40,13:50,829.5,829.9,829.6836
2026-07-06,13:25,13:50,14:00,829.9,830.5,830.02716
2026-07-06,13:35,14:00,14:10,830.5,828.65,830.61786
2026-07-06,13:45,14:10,14:20,828.65,829.5,828.80084
2026-07-06,13:55,14:20,14:30,829.5,830.35,829.11884
2026-07-06,14:05,14:30,14:40,830.35,830.25,829.8343
2026-07-06,14:15,14:40,14:50,830.25,829.75,830.19434
2026-07-06,14:25,14:50,15:00,829.75,829.9,829.5719
2026-07-06,14:35,15:00,15:10,829.9,830.35,828.83307
2026-07-06,14:45,15:10,15:20,830.35,829.4,830.50995
2026-07-07,09:15,09:40,09:50,833.45,834.2,832.41345
2026-07-07,09:25,09:50,10:00,834.2,834.55,834.4429
2026-07-07,09:35,10:00,10:10,834.55,836.45,834.6683
2026-07-07,09:45,10:10,10:20,836.45,837.2,835.50757
2026-07-07,09:55,10:20,10:30,837.2,836.65,837.8187
2026-07-07,10:05,10:30,10:40,836.65,836.6,836.34827
2026-07-07,10:15,10:40,10:50,836.6,836.4,836.5903
2026-07-07,10:25,10:50,11:00,836.4,836.55,836.2954
2026-07-07,10:35,11:00,11:10,836.55,837.45,836.6102
2026-07-07,10:45,11:10,11:20,837.45,835.9,837.3597
2026-07-07,10:55,11:20,11:30,835.9,836.35,835.0806
2026-07-07,11:05,11:30,11:40,836.35,837.1,836.373
2026-07-07,11:15,11:40,11:50,837.1,837.75,837.1788
2026-07-07,11:25,11:50,12:00,837.75,837.25,837.78436
2026-07-07,11:35,12:00,12:10,837.25,836.85,836.99225
2026-07-07,11:45,12:10,12:20,836.85,836.2,837.1376
2026-07-07,11:55,12:20,12:30,836.2,835.65,836.17676
2026-07-07,12:05,12:30,12:40,835.65,835.4,835.68195
2026-07-07,12:15,12:40,12:50,835.4,834.8,834.97644
2026-07-07,12:25,12:50,13:00,834.8,832.8,835.2482
2026-07-07,12:35,13:00,13:10,832.8,830.4,833.9293
2026-07-07,12:45,13:10,13:20,830.4,830.1,830.67126
2026-07-07,12:55,13:20,13:30,830.1,830.25,828.96387
2026-07-07,13:05,13:30,13:40,830.25,830.4,829.997
2026-07-07,13:15,13:40,13:50,830.4,828.65,830.27625
2026-07-07,13:25,13:50,14:00,828.65,831.6,829.16705
2026-07-07,13:35,14:00,14:10,831.6,831.85,829.6849
2026-07-07,13:45,14:10,14:20,831.85,831.6,831.19336
2026-07-07,13:55,14:20,14:30,831.6,831.75,831.6457
2026-07-07,14:05,14:30,14:40,831.75,832.15,831.8928
2026-07-07,14:15,14:40,14:50,832.15,832.4,831.94434
2026-07-07,14:25,14:50,15:00,832.4,829.95,832.4461
2026-07-07,14:35,15:00,15:10,829.95,829.3,831.36444
2026-07-07,14:45,15:10,15:20,829.3,828.05,828.35236
2026-07-08,09:15,09:40,09:50,828.95,833.0,827.7886
2026-07-08,09:25,09:50,10:00,833.0,829.6,833.6821
2026-07-08,09:35,10:00,10:10,829.6,830.6,831.62103
2026-07-08,09:45,10:10,10:20,830.6,827.35,830.58575
2026-07-08,09:55,10:20,10:30,827.35,829.65,827.97577
2026-07-08,10:05,10:30,10:40,829.65,829.55,829.4759
2026-07-08,10:15,10:40,10:50,829.55,829.2,829.1903
2026-07-08,10:25,10:50,11:00,829.2,829.0,829.8265
2026-07-08,10:35,11:00,11:10,829.0,828.15,829.1393
2026-07-08,10:45,11:10,11:20,828.15,826.85,827.7865
2026-07-08,10:55,11:20,11:30,826.85,827.0,826.84375
2026-07-08,11:05,11:30,11:40,827.0,826.45,827.15906
2026-07-08,11:15,11:40,11:50,826.45,826.95,826.90607
2026-07-08,11:25,11:50,12:00,826.95,826.95,826.80194
2026-07-08,11:35,12:00,12:10,826.95,826.6,826.8608
2026-07-08,11:45,12:10,12:20,826.6,827.05,826.4692
2026-07-08,11:55,12:20,12:30,827.05,825.5,826.7726
2026-07-08,12:05,12:30,12:40,825.5,826.4,826.2172
2026-07-08,12:15,12:40,12:50,826.4,826.95,826.5769
2026-07-08,12:25,12:50,13:00,826.95,827.15,826.5998
2026-07-08,12:35,13:00,13:10,827.15,827.5,827.0794
2026-07-08,12:45,13:10,13:20,827.5,829.45,827.04486
2026-07-08,12:55,13:20,13:30,829.45,828.8,828.6258
2026-07-08,13:05,13:30,13:40,828.8,826.8,828.6935
2026-07-08,13:15,13:40,13:50,826.8,821.55,827.8531
2026-07-08,13:25,13:50,14:00,821.55,814.5,821.6761
2026-07-08,13:35,14:00,14:10,814.5,812.85,814.0036
2026-07-08,13:45,14:10,14:20,812.85,813.05,811.7429
2026-07-08,13:55,14:20,14:30,813.05,811.4,812.5032
2026-07-08,14:05,14:30,14:40,811.4,810.75,812.1504
2026-07-08,14:15,14:40,14:50,810.75,807.8,810.61926
2026-07-08,14:25,14:50,15:00,807.8,809.75,807.9085
2026-07-08,14:35,15:00,15:10,809.75,811.15,809.6246
2026-07-08,14:45,15:10,15:20,811.15,810.35,811.42584
2026-07-09,09:15,09:40,09:50,817.95,817.6,817.35815
2026-07-09,09:25,09:50,10:00,817.6,817.6,817.4535
2026-07-09,09:35,10:00,10:10,817.6,816.1,817.62134
2026-07-09,09:45,10:10,10:20,816.1,814.7,817.6506
2026-07-09,09:55,10:20,10:30,814.7,814.8,815.95166
2026-07-09,10:05,10:30,10:40,814.8,816.9,814.05023
2026-07-09,10:15,10:40,10:50,816.9,816.2,816.2216
2026-07-09,10:25,10:50,11:00,816.2,818.15,816.2452
2026-07-09,10:35,11:00,11:10,818.15,819.0,815.6473
2026-07-09,10:45,11:10,11:20,819.0,818.65,818.2089
2026-07-09,10:55,11:20,11:30,818.65,819.35,818.6306
2026-07-09,11:05,11:30,11:40,819.35,818.85,819.65533
2026-07-09,11:15,11:40,11:50,818.85,817.7,819.12994
2026-07-09,11:25,11:50,12:00,817.7,819.0,817.7148
2026-07-09,11:35,12:00,12:10,819.0,819.75,818.23535
2026-07-09,11:45,12:10,12:20,819.75,819.95,820.4873
2026-07-09,11:55,12:20,12:30,819.95,819.1,819.9622
2026-07-09,12:05,12:30,12:40,819.1,819.85,819.5751
2026-07-09,12:15,12:40,12:50,819.85,820.75,819.72675
2026-07-09,12:25,12:50,13:00,820.75,821.55,819.0787
2026-07-09,12:35,13:00,13:10,821.55,821.1,821.8897
2026-07-09,12:45,13:10,13:20,821.1,820.6,821.16144
2026-07-09,12:55,13:20,13:30,820.6,821.3,820.55566
2026-07-09,13:05,13:30,13:40,821.3,821.95,820.9523
2026-07-09,13:15,13:40,13:50,821.95,821.95,822.09625
2026-07-09,13:25,13:50,14:00,821.95,821.2,821.99567
2026-07-09,13:35,14:00,14:10,821.2,821.0,821.3652
2026-07-09,13:45,14:10,14:20,821.0,820.9,820.85785
2026-07-09,13:55,14:20,14:30,820.9,820.9,820.48236
2026-07-09,14:05,14:30,14:40,820.9,820.95,821.0846
2026-07-09,14:15,14:40,14:50,820.95,821.0,820.8927
2026-07-09,14:25,14:50,15:00,821.0,818.2,820.56177
2026-07-09,14:35,15:00,15:10,818.2,816.55,819.44116
2026-07-09,14:45,15:10,15:20,816.55,817.45,816.757
2026-07-10,09:15,09:40,09:50,824.1,823.2,824.07745
2026-07-10,09:25,09:50,10:00,823.2,822.15,823.7055
2026-07-10,09:35,10:00,10:10,822.15,823.5,823.11505
2026-07-10,09:45,10:10,10:20,823.5,823.1,823.3791
2026-07-10,09:55,10:20,10:30,823.1,823.8,822.76996
2026-07-10,10:05,10:30,10:40,823.8,824.65,823.7296
2026-07-10,10:15,10:40,10:50,824.65,825.9,824.5387
2026-07-10,10:25,10:50,11:00,825.9,826.35,825.1815
2026-07-10,10:35,11:00,11:10,826.35,825.05,826.74475
2026-07-10,10:45,11:10,11:20,825.05,824.5,825.91736
2026-07-10,10:55,11:20,11:30,824.5,824.25,824.2561
2026-07-10,11:05,11:30,11:40,824.25,824.75,824.31396
2026-07-10,11:15,11:40,11:50,824.75,824.4,823.8011
2026-07-10,11:25,11:50,12:00,824.4,825.65,824.68665
2026-07-10,11:35,12:00,12:10,825.65,823.9,824.5956
2026-07-10,11:45,12:10,12:20,823.9,823.65,824.2022
2026-07-10,11:55,12:20,12:30,823.65,824.9,823.71405
2026-07-10,12:05,12:30,12:40,824.9,824.9,824.31836
2026-07-10,12:15,12:40,12:50,824.9,824.3,825.3519
2026-07-10,12:25,12:50,13:00,824.3,823.95,824.6441
2026-07-10,12:35,13:00,13:10,823.95,824.1,824.0031
2026-07-10,12:45,13:10,13:20,824.1,824.45,823.92303
2026-07-10,12:55,13:20,13:30,824.45,825.6,823.4787
2026-07-10,13:05,13:30,13:40,825.6,826.35,825.8087
2026-07-10,13:15,13:40,13:50,826.35,825.45,825.5397
2026-07-10,13:25,13:50,14:00,825.45,825.2,825.02795
2026-07-10,13:35,14:00,14:10,825.2,825.05,825.2706
2026-07-10,13:45,14:10,14:20,825.05,825.95,824.8692
2026-07-10,13:55,14:20,14:30,825.95,826.0,825.7816
2026-07-10,14:05,14:30,14:40,826.0,826.0,825.6737
2026-07-10,14:15,14:40,14:50,826.0,826.1,826.24365
2026-07-10,14:25,14:50,15:00,826.1,825.65,827.0151
2026-07-10,14:35,15:00,15:10,825.65,825.0,825.44165
2026-07-10,14:45,15:10,15:20,825.0,823.5,824.68353
2026-07-13,09:15,09:40,09:50,813.5,817.0,813.2018
2026-07-13,09:25,09:50,10:00,817.0,816.3,817.33295
2026-07-13,09:35,10:00,10:10,816.3,817.6,815.85236
2026-07-13,09:45,10:10,10:20,817.6,819.25,817.5738
2026-07-13,09:55,10:20,10:30,819.25,820.35,819.09924
2026-07-13,10:05,10:30,10:40,820.35,819.7,820.7296
2026-07-13,10:15,10:40,10:50,819.7,819.55,819.772
2026-07-13,10:25,10:50,11:00,819.55,821.35,819.4685
2026-07-13,10:35,11:00,11:10,821.35,820.0,819.56616
2026-07-13,10:45,11:10,11:20,820.0,820.0,820.0447
2026-07-13,10:55,11:20,11:30,820.0,818.95,819.74927
2026-07-13,11:05,11:30,11:40,818.95,817.85,818.8073
2026-07-13,11:15,11:40,11:50,817.85,818.5,818.486
2026-07-13,11:25,11:50,12:00,818.5,817.8,817.93463
2026-07-13,11:35,12:00,12:10,817.8,818.85,817.10583
2026-07-13,11:45,12:10,12:20,818.85,818.75,818.9609
2026-07-13,11:55,12:20,12:30,818.75,819.75,818.565
2026-07-13,12:05,12:30,12:40,819.75,820.0,819.7069
2026-07-13,12:15,12:40,12:50,820.0,820.3,819.5496
2026-07-13,12:25,12:50,13:00,820.3,818.8,819.99304
2026-07-13,12:35,13:00,13:10,818.8,818.95,819.6132
2026-07-13,12:45,13:10,13:20,818.95,818.25,819.5623
2026-07-13,12:55,13:20,13:30,818.25,818.5,818.38007
2026-07-13,13:05,13:30,13:40,818.5,818.45,818.5791
2026-07-13,13:15,13:40,13:50,818.45,818.75,818.6489
2026-07-13,13:25,13:50,14:00,818.75,818.1,818.55756
2026-07-13,13:35,14:00,14:10,818.1,819.0,818.12854
2026-07-13,13:45,14:10,14:20,819.0,820.1,818.09894
2026-07-13,13:55,14:20,14:30,820.1,818.7,819.61884
2026-07-13,14:05,14:30,14:40,818.7,819.2,819.0292
2026-07-13,14:15,14:40,14:50,819.2,819.65,818.43396
2026-07-13,14:25,14:50,15:00,819.65,819.5,818.9298
2026-07-13,14:35,15:00,15:10,819.5,817.4,819.2454
2026-07-13,14:45,15:10,15:20,817.4,817.45,816.6014
2026-07-14,09:15,09:40,09:50,814.35,815.25,816.2166
2026-07-14,09:25,09:50,10:00,815.25,816.95,814.5876
