,open,high,low,close,volume,amount
2026-07-27,23748.29,23861.82,23675.377,23764.137,-6.523788e-08,-9.553715e-08
2026-07-28,23507.98,23961.174,23443.625,23889.033,-1.2981609e-07,-2.2273645e-07
2026-07-29,23897.785,24066.898,23907.736,24030.13,-2.2898048e-07,-2.3140915e-07
2026-07-30,23993.143,24193.184,23883.777,24109.834,-3.2152636e-07,-3.3358482e-08
2026-07-31,23736.594,24220.67,23953.334,24259.066,2.2493512e-06,1.0060382e-06
2026-08-03,24099.393,24185.291,23956.4,24035.404,-2.082318e-08,3.0697063e-08
2026-08-04,24006.08,24072.0,23872.396,23935.104,-1.6262479e-07,-1.6156577e-07
2026-08-05,23982.707,24142.07,24027.793,24129.49,-1.1210866e-07,-1.4027364e-07
2026-08-06,24027.178,24097.65,23883.664,23942.592,-2.2899926e-07,-1.9301504e-07
2026-08-07,24036.057,24151.998,23988.566,24070.32,1.918403e-07,1.5796459e-07
2026-08-10,24118.006,24287.178,24117.445,24215.965,6.888016e-07,4.998224e-07
2026-08-11,24169.62,24274.896,24068.914,24173.787,-9.0211625e-09,-2.5514513e-09
2026-08-12,24174.707,24304.426,24225.756,24272.871,-2.1850914e-08,-1.8944219e-08
2026-08-13,23990.75,24093.004,23649.605,23919.031,2.0080413e-06,1.8578755e-06
2026-08-14,24023.674,24159.344,24003.799,24070.379,-3.9495006e-08,-1.006633e-07
2026-08-17,24152.26,24205.424,24116.459,24108.334,-1.6605927e-08,-1.2642026e-07
2026-08-18,24182.496,24224.842,24151.174,24130.02,-2.365783e-09,-1.1053525e-07
2026-08-19,23791.658,24207.625,23747.857,24139.854,9.40191e-08,9.167418e-09
2026-08-20,24042.043,24244.93,23933.672,24190.049,-2.1137714e-07,1.0810494e-08
2026-08-21,24084.336,24144.611,23925.879,23986.621,-1.5965738e-07,-1.4175839e-07
